Time,Temperature,Change in Length
33.84197998,387.7618713,51.22191238
34.14886856,392.2024841,51.96637726
34.45539093,396.9508667,52.69168091
34.76151657,401.6763611,53.37593079
35.07337189,406.2609863,54.0492363
35.3743248,410.6062012,54.81011963
35.68100357,415.4750671,55.56827164
35.9885025,420.0437317,56.27441788
36.29521561,424.7958679,57.02983093
36.60174179,428.9342651,57.73871231
36.90832138,433.5374756,58.45581055
37.21502686,438.0889282,59.24132919
37.52145386,442.8913269,59.91463089
37.83863831,447.3321838,60.6974144
38.13461685,451.6204834,61.40629578
38.44124603,456.6636658,62.16444778
38.74771118,460.9968262,62.91712189
39.05502319,465.718811,63.58495331
39.36157608,470.4568787,64.43341827
39.66808701,474.6681824,65.11493683
39.97473526,479.5175476,65.90319061
40.28119659,483.8748779,66.65039063
40.58780289,488.6221924,67.35653687
40.89545822,493.169342,68.12837219
41.20132828,497.5729675,68.86462402
41.50862503,502.7697754,69.65561676
41.82116318,507.2096863,70.33986664
42.12141418,511.4437256,71.10349274
42.4281311,516.3312988,71.8890152
42.73469543,520.5615234,72.58968353
43.04108429,525.9050293,73.41352081
43.34761047,530.4478149,74.16072845
43.65420914,534.4804688,74.86687469
43.96126938,539.1367188,75.65238953
44.26803589,543.6253052,76.38043213
44.57458496,548.7637329,77.17690277
44.8822403,552.7526245,77.88031006
45.18876648,557.6723023,78.66036224
45.49494553,562.2492676,79.4404068
45.80149841,567.0018921,80.11096191
46.10759354,571.4418945,80.95396423
46.41429138,576.0213013,81.70117188
46.72230148,580.5905762,82.47847748
47.02761841,585.4033203,83.21473694
47.33577728,589.6734009,83.92635345
47.6422348,594.4616699,84.72556305
47.9475441,598.7232056,85.48918152
48.25431442,603.6997681,86.19532776
48.56077957,608.520813,87.04927063
48.86743927,612.8961182,87.72531891
49.17522812,617.7713013,88.53546906
49.48180389,621.6464233,89.2470932
49.78848267,626.8617554,90.07913971
50.09495926,631.0682373,90.82906342
50.40162277,636.1644898,91.55163574
50.70817947,640.7711792,92.35632324
